number,name,organ_smiles
309,MIL(88A)Fe,['C(/C=C/C(=O)[O-])C(=O)[O-]']
310,MIL(88A)Fe,['C(/C=C/C(=O)[O-])C(=O)[O-]']
311,MOF(76)Y,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
312,MOF(76)Y,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
313,MOF(76)Y,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
314,MOF(76)Y,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
315,MOF(76)Y,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
316,MOF(76)YAc,['O=C(C1=CC(C([O-])=O)=C(C([O-])=O)C(C([O-])=O)=C1)[O-]']
317,MOF(76)YAc,['O=C(C1=CC(C([O-])=O)=C(C([O-])=O)C(C([O-])=O)=C1)[O-]']
318,MOF(76)YAc,['O=C(C1=CC(C([O-])=O)=C(C([O-])=O)C(C([O-])=O)=C1)[O-]']
319,MOF(76)YAc,['O=C(C1=CC(C([O-])=O)=C(C([O-])=O)C(C([O-])=O)=C1)[O-]']
320,MOF(76)YAc,['O=C(C1=CC(C([O-])=O)=C(C([O-])=O)C(C([O-])=O)=C1)[O-]']
321,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
322,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
323,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
324,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
325,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
326,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
327,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
328,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
329,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
330,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
331,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
332,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
333,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
