number,name,metal_smiles,organ_smiles,topo,GLD,PLD,LCD,q,VSA,GSA,VF,AV,Tem,pH,Dosage,Concentration,Capacity,Source,DOI
165,MOF(74)ZnRT,[Zn],['[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]'],bnn,11.71715,10.90932,11.71715,1.21946,1612.88,1322.61,0.22743,0.0969412,298,7,1,77.30193662,58.07658451,Literature,10.1021/acsanm.8b00501
166,MOF(74)ZnRT,[Zn],['[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]'],bnn,11.71715,10.90932,11.71715,1.21946,1612.88,1322.61,0.22743,0.0969412,298,7,1,91.39839034,67.10261569,Literature,10.1021/acsanm.8b00501
167,MOF(74)ZnRT,[Zn],['[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]'],bnn,11.71715,10.90932,11.71715,1.21946,1612.88,1322.61,0.22743,0.0969412,298,7,1,99.94944023,71.21704586,Literature,10.1021/acsanm.8b00501
168,MOF(74)ZnRT,[Zn],['[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]'],bnn,11.71715,10.90932,11.71715,1.21946,1612.88,1322.61,0.22743,0.0969412,298,7,1,129.0923318,82.82472613,Literature,10.1021/acsanm.8b00501
169,MOF(74)ZnHT,[Zn],['[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]'],bnn,11.39724,10.6155,11.39724,1.22811,1590.58,1295.14,0.32749,0.177046,298,7,1,140.0176056,84.24295775,Literature,10.1021/acsanm.8b00501
170,MOF(74)ZnHT,[Zn],['[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]'],bnn,11.39724,10.6155,11.39724,1.22811,1590.58,1295.14,0.32749,0.177046,298,7,1,9.935979513,2.535211268,Literature,10.1021/acsanm.8b00501
171,MOF(74)ZnHT,[Zn],['[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]'],bnn,11.39724,10.6155,11.39724,1.22811,1590.58,1295.14,0.32749,0.177046,298,7,1,20.42253521,8.450704225,Literature,10.1021/acsanm.8b00501
172,MOF(74)ZnHT,[Zn],['[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]'],bnn,11.39724,10.6155,11.39724,1.22811,1590.58,1295.14,0.32749,0.177046,298,7,1,42.32869125,27.46478873,Literature,10.1021/acsanm.8b00501
173,MOF(74)ZnHT,[Zn],['[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]'],bnn,11.39724,10.6155,11.39724,1.22811,1590.58,1295.14,0.32749,0.177046,298,7,1,65.41316447,47.11267606,Literature,10.1021/acsanm.8b00501
174,LaBDC,[La],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],rna,2.24389,1.35213,2.04652,1.84462,1737.45,1883.81,0.30984,0.167969,298,6.5,1,34.95050106,34.95050106,Literature,10.1021/acssuschemeng.8b06489
175,LaBDC,[La],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],rna,2.24389,1.35213,2.04652,1.84462,1737.45,1883.81,0.30984,0.167969,298,6.5,1,52.97702533,52.42805218,Literature,10.1021/acssuschemeng.8b06489
176,LaBDC,[La],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],rna,2.24389,1.35213,2.04652,1.84462,1737.45,1883.81,0.30984,0.167969,298,6.5,1,58.44838541,56.80146598,Literature,10.1021/acssuschemeng.8b06489
177,LaBDC,[La],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],rna,2.24389,1.35213,2.04652,1.84462,1737.45,1883.81,0.30984,0.167969,298,6.5,1,76.47490968,74.27901711,Literature,10.1021/acssuschemeng.8b06489
178,LaBDC,[La],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],rna,2.24389,1.35213,2.04652,1.84462,1737.45,1883.81,0.30984,0.167969,298,6.5,1,351.3243407,332.1102806,Literature,10.1021/acssuschemeng.8b06489
179,LaBDC,[La],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],rna,2.24389,1.35213,2.04652,1.84462,1737.45,1883.81,0.30984,0.167969,298,6.5,1,411.114201,383.1165707,Literature,10.1021/acssuschemeng.8b06489
180,LaBDC,[La],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],rna,2.24389,1.35213,2.04652,1.84462,1737.45,1883.81,0.30984,0.167969,298,6.5,1,472.2455365,428.327685,Literature,10.1021/acssuschemeng.8b06489
181,LaBDC,[La],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],rna,2.24389,1.35213,2.04652,1.84462,1737.45,1883.81,0.30984,0.167969,298,6.5,1,647.0447203,501.5668372,Literature,10.1021/acssuschemeng.8b06489
182,MIL(101)Fe,[Fe][O]([Fe])[Fe],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],mtn-e,36.1506,14.04664,36.1506,0.434948,1349.99,3103.8,0.83947,1.93005,298,6.5,1,10.04393664,18.77274936,Literature,10.1016/j.jcis.2019.07.046
183,MIL(101)Fe,[Fe][O]([Fe])[Fe],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],mtn-e,36.1506,14.04664,36.1506,0.434948,1349.99,3103.8,0.83947,1.93005,298,6.5,1,21.09256449,40.75098932,Literature,10.1016/j.jcis.2019.07.046
184,MIL(101)Fe,[Fe][O]([Fe])[Fe],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],mtn-e,36.1506,14.04664,36.1506,0.434948,1349.99,3103.8,0.83947,1.93005,298,6.5,1,40.42766323,79.21290924,Literature,10.1016/j.jcis.2019.07.046
185,MIL(101)Fe,[Fe][O]([Fe])[Fe],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],mtn-e,36.1506,14.04664,36.1506,0.434948,1349.99,3103.8,0.83947,1.93005,298,6.5,1,61.39030218,117.6807799,Literature,10.1016/j.jcis.2019.07.046
186,MIL(101)Fe,[Fe][O]([Fe])[Fe],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],mtn-e,36.1506,14.04664,36.1506,0.434948,1349.99,3103.8,0.83947,1.93005,298,6.5,1,81.18857055,147.3692563,Literature,10.1016/j.jcis.2019.07.046
187,MIL(101)Fe,[Fe][O]([Fe])[Fe],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],mtn-e,36.1506,14.04664,36.1506,0.434948,1349.99,3103.8,0.83947,1.93005,298,6.5,1,151.0765966,196.9849346,Literature,10.1016/j.jcis.2019.07.046
188,MIL(101)Fe,[Fe][O]([Fe])[Fe],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],mtn-e,36.1506,14.04664,36.1506,0.434948,1349.99,3103.8,0.83947,1.93005,298,6.5,1,201.6196059,207.0417646,Literature,10.1016/j.jcis.2019.07.046
189,MIL(101)Fe,[Fe][O]([Fe])[Fe],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],mtn-e,36.1506,14.04664,36.1506,0.434948,1349.99,3103.8,0.83947,1.93005,298,6.5,1,251.8085434,237.9382507,Literature,10.1016/j.jcis.2019.07.046
190,MIL(101)Fe,[Fe][O]([Fe])[Fe],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],mtn-e,36.1506,14.04664,36.1506,0.434948,1349.99,3103.8,0.83947,1.93005,298,6.5,1,301.7991213,246.8961687,Literature,10.1016/j.jcis.2019.07.046
191,MIL(101)Fe,[Fe][O]([Fe])[Fe],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],mtn-e,36.1506,14.04664,36.1506,0.434948,1349.99,3103.8,0.83947,1.93005,298,6.5,1,351.8392891,261.3387287,Literature,10.1016/j.jcis.2019.07.046
192,MIL(101)Fe,[Fe][O]([Fe])[Fe],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],mtn-e,36.1506,14.04664,36.1506,0.434948,1349.99,3103.8,0.83947,1.93005,298,6.5,1,401.8199491,269.1997183,Literature,10.1016/j.jcis.2019.07.046
193,CPO-27-Zn,[Zn],['[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]'],bnn,11.63735,10.86073,11.63667,1.22977,1475.63,1199.93,0.66014,0.536801,298,7,1,4.081632653,4.081632653,Literature,10.1016/j.jssc.2018.09.042
194,CPO-27-Zn,[Zn],['[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]'],bnn,11.63735,10.86073,11.63667,1.22977,1475.63,1199.93,0.66014,0.536801,298,7,1,9.974859509,8.163265306,Literature,10.1016/j.jssc.2018.09.042
195,CPO-27-Zn,[Zn],['[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]'],bnn,11.63735,10.86073,11.63667,1.22977,1475.63,1199.93,0.66014,0.536801,298,7,1,14.05649216,12.24489796,Literature,10.1016/j.jssc.2018.09.042
196,CPO-27-Zn,[Zn],['[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]'],bnn,11.63735,10.86073,11.63667,1.22977,1475.63,1199.93,0.66014,0.536801,298,7,1,50.33274179,44.89795918,Literature,10.1016/j.jssc.2018.09.042
197,CPO-27-Zn,[Zn],['[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]'],bnn,11.63735,10.86073,11.63667,1.22977,1475.63,1199.93,0.66014,0.536801,298,7,1,100.2070393,85.71428571,Literature,10.1016/j.jssc.2018.09.042
198,CPO-27-Zn,[Zn],['[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]'],bnn,11.63735,10.86073,11.63667,1.22977,1475.63,1199.93,0.66014,0.536801,298,7,1,199.7042295,148.9795918,Literature,10.1016/j.jssc.2018.09.042
199,CPO-27-Zn,[Zn],['[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]'],bnn,11.63735,10.86073,11.63667,1.22977,1475.63,1199.93,0.66014,0.536801,298,7,1,299.8669033,202.0408163,Literature,10.1016/j.jssc.2018.09.042
200,CPO-27-Zn,[Zn],['[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]'],bnn,11.63735,10.86073,11.63667,1.22977,1475.63,1199.93,0.66014,0.536801,298,7,1,400.6950606,244.8979592,Literature,10.1016/j.jssc.2018.09.042
201,CPO-27-Zn,[Zn],['[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]'],bnn,11.63735,10.86073,11.63667,1.22977,1475.63,1199.93,0.66014,0.536801,298,7,1,501.2718131,269.3877551,Literature,10.1016/j.jssc.2018.09.042
202,CPO-27-Zn,[Zn],['[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]'],bnn,11.63735,10.86073,11.63667,1.22977,1475.63,1199.93,0.66014,0.536801,298,7,1,597.5377107,287.755102,Literature,10.1016/j.jssc.2018.09.042
203,CPO-27-Zn,[Zn],['[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]'],bnn,11.63735,10.86073,11.63667,1.22977,1475.63,1199.93,0.66014,0.536801,298,7,1,698.0922803,295.9183673,Literature,10.1016/j.jssc.2018.09.042
204,CPO-27-Zn,[Zn],['[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]'],bnn,11.63735,10.86073,11.63667,1.22977,1475.63,1199.93,0.66014,0.536801,298,7,1,797.545105,326.5306122,Literature,10.1016/j.jssc.2018.09.042
205,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,298,9.2,1,12.47188934,11.98237885,Literature,10.1016/j.jcis.2018.12.065
206,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,298,9.2,1,37.80752288,32.42290749,Literature,10.1016/j.jcis.2018.12.065
207,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,298,9.2,1,53.11881951,40.88105727,Literature,10.1016/j.jcis.2018.12.065
208,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,298,9.2,1,74.87200025,50.39647577,Literature,10.1016/j.jcis.2018.12.065
209,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,298,9.2,1,96.33159792,58.14977974,Literature,10.1016/j.jcis.2018.12.065
210,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,298,9.2,1,145.0272635,70.13215859,Literature,10.1016/j.jcis.2018.12.065
211,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,298,9.2,1,199.3629278,70.13215859,Literature,10.1016/j.jcis.2018.12.065
212,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,308,9.2,1,8.94766027,8.45814978,Literature,10.1016/j.jcis.2018.12.065
213,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,308,9.2,1,26.3146545,20.44052863,Literature,10.1016/j.jcis.2018.12.065
214,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,308,9.2,1,39.43316596,25.72687225,Literature,10.1016/j.jcis.2018.12.065
215,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,308,9.2,1,59.58072765,35.59471366,Literature,10.1016/j.jcis.2018.12.065
216,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,308,9.2,1,77.73143156,40.52863436,Literature,10.1016/j.jcis.2018.12.065
217,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,308,9.2,1,110.8222174,42.2907489,Literature,10.1016/j.jcis.2018.12.065
218,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,308,9.2,1,145.4403746,42.64317181,Literature,10.1016/j.jcis.2018.12.065
219,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,318,9.2,1,8.850004621,4.933920705,Literature,10.1016/j.jcis.2018.12.065
220,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,318,9.2,1,29.72182003,17.97356828,Literature,10.1016/j.jcis.2018.12.065
221,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,318,9.2,1,41.58713533,23.96475771,Literature,10.1016/j.jcis.2018.12.065
222,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,318,9.2,1,53.80487354,30.30837004,Literature,10.1016/j.jcis.2018.12.065
223,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,318,9.2,1,78.53454915,35.94713656,Literature,10.1016/j.jcis.2018.12.065
224,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,318,9.2,1,107.3374203,34.88986784,Literature,10.1016/j.jcis.2018.12.065
225,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,318,9.2,1,150.4143433,34.88986784,Literature,10.1016/j.jcis.2018.12.065
226,UiO(66)ZrNH2,[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],fcu,6.17346,1.29038,6.17346,2.50113,868.38,347.19,0.34205,0.136758,298,9.2,1,20.95037122,20.46086073,Literature,10.1016/j.jcis.2018.12.065
227,UiO(66)ZrNH2,[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],fcu,6.17346,1.29038,6.17346,2.50113,868.38,347.19,0.34205,0.136758,298,9.2,1,43.7201565,38.33554111,Literature,10.1016/j.jcis.2018.12.065
228,UiO(66)ZrNH2,[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],fcu,6.17346,1.29038,6.17346,2.50113,868.38,347.19,0.34205,0.136758,298,9.2,1,57.16228705,45.4140353,Literature,10.1016/j.jcis.2018.12.065
229,UiO(66)ZrNH2,[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],fcu,6.17346,1.29038,6.17346,2.50113,868.38,347.19,0.34205,0.136758,298,9.2,1,78.0074551,54.02144111,Literature,10.1016/j.jcis.2018.12.065
230,UiO(66)ZrNH2,[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],fcu,6.17346,1.29038,6.17346,2.50113,868.38,347.19,0.34205,0.136758,298,9.2,1,98.4676997,60.77539201,Literature,10.1016/j.jcis.2018.12.065
231,UiO(66)ZrNH2,[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],fcu,6.17346,1.29038,6.17346,2.50113,868.38,347.19,0.34205,0.136758,298,9.2,1,146.2531961,70.86858076,Literature,10.1016/j.jcis.2018.12.065
232,UiO(66)ZrNH2,[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],fcu,6.17346,1.29038,6.17346,2.50113,868.38,347.19,0.34205,0.136758,298,9.2,1,199.8006839,71.05942516,Literature,10.1016/j.jcis.2018.12.065
233,UiO(66)ZrNH2,[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],fcu,6.17346,1.29038,6.17346,2.50113,868.38,347.19,0.34205,0.136758,308,9.2,1,17.86667077,17.37716028,Literature,10.1016/j.jcis.2018.12.065
234,UiO(66)ZrNH2,[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],fcu,6.17346,1.29038,6.17346,2.50113,868.38,347.19,0.34205,0.136758,308,9.2,1,34.03237731,28.15825144,Literature,10.1016/j.jcis.2018.12.065
235,UiO(66)ZrNH2,[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],fcu,6.17346,1.29038,6.17346,2.50113,868.38,347.19,0.34205,0.136758,308,9.2,1,46.1644743,32.45818059,Literature,10.1016/j.jcis.2018.12.065
236,UiO(66)ZrNH2,[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],fcu,6.17346,1.29038,6.17346,2.50113,868.38,347.19,0.34205,0.136758,308,9.2,1,64.56748098,41.07097748,Literature,10.1016/j.jcis.2018.12.065
237,UiO(66)ZrNH2,[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],fcu,6.17346,1.29038,6.17346,2.50113,868.38,347.19,0.34205,0.136758,308,9.2,1,83.0491975,45.35688981,Literature,10.1016/j.jcis.2018.12.065
238,UiO(66)ZrNH2,[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],fcu,6.17346,1.29038,6.17346,2.50113,868.38,347.19,0.34205,0.136758,308,9.2,1,115.3622809,46.83081236,Literature,10.1016/j.jcis.2018.12.065
239,UiO(66)ZrNH2,[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],fcu,6.17346,1.29038,6.17346,2.50113,868.38,347.19,0.34205,0.136758,308,9.2,1,149.86091,47.06370722,Literature,10.1016/j.jcis.2018.12.065
240,UiO(66)ZrNH2,[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],fcu,6.17346,1.29038,6.17346,2.50113,868.38,347.19,0.34205,0.136758,318,9.2,1,18.51036629,14.59428237,Literature,10.1016/j.jcis.2018.12.065
241,UiO(66)ZrNH2,[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],fcu,6.17346,1.29038,6.17346,2.50113,868.38,347.19,0.34205,0.136758,318,9.2,1,37.73497428,25.98672253,Literature,10.1016/j.jcis.2018.12.065
242,UiO(66)ZrNH2,[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],fcu,6.17346,1.29038,6.17346,2.50113,868.38,347.19,0.34205,0.136758,318,9.2,1,48.53008225,30.90770463,Literature,10.1016/j.jcis.2018.12.065
243,UiO(66)ZrNH2,[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],fcu,6.17346,1.29038,6.17346,2.50113,868.38,347.19,0.34205,0.136758,318,9.2,1,60.25030036,36.75379686,Literature,10.1016/j.jcis.2018.12.065
244,UiO(66)ZrNH2,[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],fcu,6.17346,1.29038,6.17346,2.50113,868.38,347.19,0.34205,0.136758,318,9.2,1,83.92470965,41.33729706,Literature,10.1016/j.jcis.2018.12.065
245,UiO(66)ZrNH2,[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],fcu,6.17346,1.29038,6.17346,2.50113,868.38,347.19,0.34205,0.136758,318,9.2,1,112.7939682,40.3464157,Literature,10.1016/j.jcis.2018.12.065
