number,name,metal_smiles,organ_smiles,topo,GLD,PLD,LCD,q,VSA,GSA,VF,AV,Tem,pH,Dosage,Concentration,Capacity,Source,DOI
44,MIL(100)Fe,[Fe][O]([Fe])[Fe],['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]'],moo,28.48274,11.8329,28.48677,0.684425,1325.74,1937.02,0.7628,1.11451,278,7,0.4,50,25.38099685,Literature,10.1039/c6cp00249h
45,MIL(100)Fe,[Fe][O]([Fe])[Fe],['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]'],moo,28.48274,11.8329,28.48677,0.684425,1325.74,1937.02,0.7628,1.11451,278,7,0.4,100,26.34084462,Literature,10.1039/c6cp00249h
46,MIL(100)Fe,[Fe][O]([Fe])[Fe],['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]'],moo,28.48274,11.8329,28.48677,0.684425,1325.74,1937.02,0.7628,1.11451,298,7,0.4,10,23.81225885,Literature,10.1039/c6cp00249h
47,MIL(100)Fe,[Fe][O]([Fe])[Fe],['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]'],moo,28.48274,11.8329,28.48677,0.684425,1325.74,1937.02,0.7628,1.11451,298,7,0.4,20,46.55895981,Literature,10.1039/c6cp00249h
48,MIL(100)Fe,[Fe][O]([Fe])[Fe],['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]'],moo,28.48274,11.8329,28.48677,0.684425,1325.74,1937.02,0.7628,1.11451,298,7,0.4,50,80.6229849,Literature,10.1039/c6cp00249h
49,MIL(100)Fe,[Fe][O]([Fe])[Fe],['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]'],moo,28.48274,11.8329,28.48677,0.684425,1325.74,1937.02,0.7628,1.11451,298,7,0.4,100,98.1010941,Literature,10.1039/c6cp00249h
50,MIL(100)Fe,[Fe][O]([Fe])[Fe],['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]'],moo,28.48274,11.8329,28.48677,0.684425,1325.74,1937.02,0.7628,1.11451,298,7,0.4,150,104.2174809,Literature,10.1039/c6cp00249h
51,MIL(100)Fe,[Fe][O]([Fe])[Fe],['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]'],moo,28.48274,11.8329,28.48677,0.684425,1325.74,1937.02,0.7628,1.11451,298,7,0.4,200,105.7333639,Literature,10.1039/c6cp00249h
52,MIL(101)Cr,[Cr][O]([Cr])[Cr],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],mtn-e,36.1506,14.04664,36.1506,0.427517,1422.73,3327.89,0.8368,1.95735,298,7,0.384,5.9375,25.36458333,Literature,10.1002/ejic.201600160
53,MIL(88B)FeNH2,[O][Fe][O]([Fe][O])[Fe][O],['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],acs,7.32161,3.94429,4.99809,1.19616,228.6,191.11,0.57283,0.478892,298,6,0.2,0.986704949,5.173210162,Literature,10.1039/c7ta07934f
54,MIL(88B)FeNH2,[O][Fe][O]([Fe][O])[Fe][O],['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],acs,7.32161,3.94429,4.99809,1.19616,228.6,191.11,0.57283,0.478892,298,6,0.2,5.671556083,24.57274827,Literature,10.1039/c7ta07934f
55,MIL(88B)FeNH2,[O][Fe][O]([Fe][O])[Fe][O],['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],acs,7.32161,3.94429,4.99809,1.19616,228.6,191.11,0.57283,0.478892,298,6,0.2,11.28493852,44.29561201,Literature,10.1039/c7ta07934f
56,MIL(88B)FeNH2,[O][Fe][O]([Fe][O])[Fe][O],['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],acs,7.32161,3.94429,4.99809,1.19616,228.6,191.11,0.57283,0.478892,298,6,0.2,18.81905,64.98845266,Literature,10.1039/c7ta07934f
57,MIL(88B)FeNH2,[O][Fe][O]([Fe][O])[Fe][O],['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],acs,7.32161,3.94429,4.99809,1.19616,228.6,191.11,0.57283,0.478892,298,6,0.2,29.63485426,86.97459584,Literature,10.1039/c7ta07934f
58,MIL(88B)FeNH2,[O][Fe][O]([Fe][O])[Fe][O],['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],acs,7.32161,3.94429,4.99809,1.19616,228.6,191.11,0.57283,0.478892,298,6,0.2,48.51307659,103.7875289,Literature,10.1039/c7ta07934f
59,MIL(88B)FeNH2,[O][Fe][O]([Fe][O])[Fe][O],['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],acs,7.32161,3.94429,4.99809,1.19616,228.6,191.11,0.57283,0.478892,298,6,0.2,81.13900506,115.7505774,Literature,10.1039/c7ta07934f
60,MIL(88B)FeNH2,[O][Fe][O]([Fe][O])[Fe][O],['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],acs,7.32161,3.94429,4.99809,1.19616,228.6,191.11,0.57283,0.478892,298,6,0.2,152.2117221,120.9237875,Literature,10.1039/c7ta07934f
61,MIL(88B)FeNH2,[O][Fe][O]([Fe][O])[Fe][O],['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],acs,7.32161,3.94429,4.99809,1.19616,228.6,191.11,0.57283,0.478892,298,6,0.2,244.4603957,123.8337182,Literature,10.1039/c7ta07934f
62,AUBM(1)In,[In],"['Cc1[n-]ccn1', 'c1c(c(cc(c1C(=O)[O-])C(=O)[O-])C(=O)[O-])C(=O)[O-]']",pts,4.98159,2.47265,4.98159,2.24472,1027.17,457.6,0.41185,0.183475,298,7.6,1,29.6206089,30.26932084,Literature,10.1039/c7dt03705h
63,AUBM(1)In,[In],"['Cc1[n-]ccn1', 'c1c(c(cc(c1C(=O)[O-])C(=O)[O-])C(=O)[O-])C(=O)[O-]']",pts,4.98159,2.47265,4.98159,2.24472,1027.17,457.6,0.41185,0.183475,298,7.6,1,49.53239657,50.11709602,Literature,10.1039/c7dt03705h
64,AUBM(1)In,[In],"['Cc1[n-]ccn1', 'c1c(c(cc(c1C(=O)[O-])C(=O)[O-])C(=O)[O-])C(=O)[O-]']",pts,4.98159,2.47265,4.98159,2.24472,1027.17,457.6,0.41185,0.183475,298,7.6,1,60.18969555,52.22482436,Literature,10.1039/c7dt03705h
65,AUBM(1)In,[In],"['Cc1[n-]ccn1', 'c1c(c(cc(c1C(=O)[O-])C(=O)[O-])C(=O)[O-])C(=O)[O-]']",pts,4.98159,2.47265,4.98159,2.24472,1027.17,457.6,0.41185,0.183475,298,7.6,1,79.79703357,65.57377049,Literature,10.1039/c7dt03705h
66,AUBM(1)In,[In],"['Cc1[n-]ccn1', 'c1c(c(cc(c1C(=O)[O-])C(=O)[O-])C(=O)[O-])C(=O)[O-]']",pts,4.98159,2.47265,4.98159,2.24472,1027.17,457.6,0.41185,0.183475,298,7.6,1,99.42310695,74.70725995,Literature,10.1039/c7dt03705h
67,AUBM(1)In,[In],"['Cc1[n-]ccn1', 'c1c(c(cc(c1C(=O)[O-])C(=O)[O-])C(=O)[O-])C(=O)[O-]']",pts,4.98159,2.47265,4.98159,2.24472,1027.17,457.6,0.41185,0.183475,298,7.6,1,149.6729118,93.50117096,Literature,10.1039/c7dt03705h
68,AUBM(1)In,[In],"['Cc1[n-]ccn1', 'c1c(c(cc(c1C(=O)[O-])C(=O)[O-])C(=O)[O-])C(=O)[O-]']",pts,4.98159,2.47265,4.98159,2.24472,1027.17,457.6,0.41185,0.183475,298,7.6,1,159.6580796,96.83840749,Literature,10.1039/c7dt03705h
69,AUBM(1)In,[In],"['Cc1[n-]ccn1', 'c1c(c(cc(c1C(=O)[O-])C(=O)[O-])C(=O)[O-])C(=O)[O-]']",pts,4.98159,2.47265,4.98159,2.24472,1027.17,457.6,0.41185,0.183475,298,7.6,1,179.6502732,98.59484778,Literature,10.1039/c7dt03705h
70,AUBM(1)In,[In],"['Cc1[n-]ccn1', 'c1c(c(cc(c1C(=O)[O-])C(=O)[O-])C(=O)[O-])C(=O)[O-]']",pts,4.98159,2.47265,4.98159,2.24472,1027.17,457.6,0.41185,0.183475,298,7.6,1,199.6455894,99.64871194,Literature,10.1039/c7dt03705h
71,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,318,7,2,1,0.505106572,Literature,10.1016/j.jssc.2018.02.012
72,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,318,7,2,5,2.188225851,Literature,10.1016/j.jssc.2018.02.012
73,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,318,7,2,10,4.83245662,Literature,10.1016/j.jssc.2018.02.012
74,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,318,7,2,15,6.996345129,Literature,10.1016/j.jssc.2018.02.012
